index,Movie Name,Year of Release,Duration,Movie Rating,Metascore,Genre
28,No One Will Save You,2023,93 min,6.3,60,"Horror, Sci-Fi, Thriller"
9,Indiana Jones and the Dial of Destiny,2023,154 min,6.6,58,"Action, Adventure, Sci-Fi"
11,Asteroid City,2023,105 min,6.6,75,"Comedy, Drama, Romance"
8,A Haunting in Venice,2023,103 min,6.7,63,"Crime, Drama, Horror"
22,Beau Is Afraid,2023,179 min,6.8,63,"Comedy, Drama, Horror"
5,Dune: Part Two,2024,150 min,N/A,N/A,"Action, Adventure, Drama"
27,Bottoms,2023,91 min,6.9,77,Comedy
13,Barbie,2023,114 min,7,80,"Adventure, Comedy, Fantasy"
23,Gran Turismo,2023,134 min,7.2,48,"Action, Adventure, Drama"
10,Dungeons & Dragons: Honor Among Thieves,2023,134 min,7.3,72,"Action, Adventure, Comedy"
14,Air,2023,111 min,7.4,73,"Drama, Sport"
15,"Are You There God? It's Me, Margaret.",2023,106 min,7.4,84,"Comedy, Drama, Family"
24,Tetris,2023,118 min,7.4,61,"Biography, Drama, History"
3,John Wick: Chapter 4,2023,169 min,7.7,78,"Action, Crime, Thriller"
16,Suzume,2022,122 min,7.7,77,"Animation, Action, Adventure"
2,Mission: Impossible - Dead Reckoning Part One,2023,163 min,7.8,81,"Action, Adventure, Thriller"
7,Anatomy of a Fall,2023,151 min,7.9,87,"Crime, Drama, Thriller"
17,Kraven the Hunter,2024,N/A,N/A,N/A,"Action, Adventure, Sci-Fi"
18,The Marvels,2023,105 min,N/A,N/A,"Action, Adventure, Fantasy"
19,Wonka,2023,N/A,N/A,N/A,"Adventure, Comedy, Family"
20,Aquaman and the Lost Kingdom,2023,115 min,N/A,N/A,"Action, Adventure, Fantasy"
21,The Hunger Games: The Ballad of Songbirds and Snakes,2023,165 min,N/A,N/A,"Action, Adventure, Drama"
12,Guardians of the Galaxy Vol. 3,2023,150 min,7.9,64,"Action, Adventure, Comedy"
6,Past Lives,2023,105 min,8,94,"Drama, Romance"
4,Killers of the Flower Moon,2023,206 min,8.1,89,"Crime, Drama, History"
25,Red One,2023,102 min,N/A,N/A,"Action, Adventure, Comedy"
26,The Color Purple,2023,N/A,N/A,N/A,"Drama, Musical"
0,Oppenheimer,2023,180 min,8.5,88,"Biography, Drama, History"
1,Spider-Man: Across the Spider-Verse,2023,140 min,8.7,86,"Animation, Action, Adventure"
